title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Sky High",movie,"Action, Adventure, Drama",2002,tt0398563,6.1,1523,
"The Towering Inferno",movie,"Action, Drama, Thriller",1974,tt0072308,7,50411,
Papillon,movie,"Biography, Crime, Drama",1973,tt0070511,8,142247,
"The Family Man",movie,"Comedy, Drama, Fantasy",2000,tt0218967,6.8,126088,
"Coyote Ugly",movie,"Comedy, Drama, Music",2000,tt0200550,5.8,124784,
"Nosferatu the Vampyre",movie,"Drama, Horror",1979,tt0079641,7.4,47021,
"Three Kings",movie,"Action, Adventure, Comedy",1999,tt0120188,7.1,184286,
"I Am Legend",movie,"Drama, Horror, Sci-Fi",2007,tt0480249,7.2,849504,
"27 Dresses",movie,"Comedy, Romance",2008,tt0988595,6.1,181224,
"Death in Venice",movie,"Drama, Romance",1971,tt0067445,7.3,23899,
