title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,355270,
"Harry Potter and the Half-Blood Prince",movie,"Action, Adventure, Family",2009,tt0417741,7.6,627638,
Goodfellas,movie,"Biography, Crime, Drama",1990,tt0099685,8.7,1324649,
"Gone with the Wind",movie,"Drama, Romance, War",1939,tt0031381,8.2,346298,
"A Trip to the Moon",movie,"Adventure, Comedy, Fantasy",1902,tt0000417,8.1,58507,
"Monsieur Hulot's Holiday",movie,Comedy,1953,tt0046487,7.3,21147,
Vampyr,movie,"Fantasy, Horror",1932,tt0023649,7.4,21705,
"The Passion of Joan of Arc",movie,"Biography, Drama, History",1928,tt0019254,8.1,64894,
Gattaca,movie,"Drama, Sci-Fi, Thriller",1997,tt0119177,7.7,335766,
Kolya,movie,"Comedy, Drama, Music",1996,tt0116790,7.7,16587,
"Almost Famous",movie,"Adventure, Comedy, Drama",2000,tt0181875,7.9,304091,
"Blue Velvet",movie,"Crime, Drama, Mystery",1986,tt0090756,7.7,231850,
"City of Angels",movie,"Drama, Fantasy, Romance",1998,tt0120632,6.7,131485,
Persona,movie,"Drama, Thriller",1966,tt0060827,8,136119,
"Night and Fog",movie,"Documentary, History, Short",1956,tt0048434,8.6,22603,
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1909552,
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,772959,
"Shrek 2",movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,530946,
"Shrek the Third",movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,347416,
"Austin Powers: The Spy Who Shagged Me",movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,256167,
"Austin Powers in Goldmember",movie,"Action, Adventure, Comedy",2002,tt0295178,6.2,228877,
"The Music Room",movie,"Drama, Music",1958,tt0051792,7.8,7063,
Diabolique,movie,"Crime, Drama, Horror",1955,tt0046911,8.1,71468,
M,movie,"Crime, Mystery, Thriller",1931,tt0022100,8.3,176935,
"Umberto D.",movie,Drama,1952,tt0045274,8.2,29615,
"Close Encounters of the Third Kind",movie,"Drama, Sci-Fi",1977,tt0075860,7.6,225312,
"In the Mood for Love",movie,"Drama, Romance",2000,tt0118694,8.1,177005,
"Brief Encounter",movie,"Drama, Romance",1945,tt0037558,8,46531,
"The Mask",movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,446755,
"Sleepless in Seattle",movie,"Comedy, Drama, Romance",1993,tt0108160,6.8,198621,
"Dangerous Liaisons",movie,"Drama, Romance",1988,tt0094947,7.5,77588,
"Finding Neverland",movie,"Biography, Drama, Family",2004,tt0308644,7.6,214788,
"Singin' in the Rain",movie,"Comedy, Musical, Romance",1952,tt0045152,8.3,272405,
"The Color Purple",movie,Drama,1985,tt0088939,7.7,100961,
Hook,movie,"Adventure, Comedy, Family",1991,tt0102057,6.8,282371,
"Coffee and Cigarettes",movie,"Comedy, Drama, Music",2003,tt0379217,7,69190,
"All the President's Men",movie,"Drama, History, Thriller",1976,tt0074119,7.9,131102,
"The World of Apu",movie,Drama,1959,tt0052572,8.4,17627,
Aparajito,movie,Drama,1956,tt0048956,8.2,16814,
"City Lights",movie,"Comedy, Drama, Romance",1931,tt0021749,8.5,206831,
"Cool Hand Luke",movie,"Crime, Drama",1967,tt0061512,8,194253,
"Pandora's Box",movie,"Crime, Drama, Romance",1929,tt0018737,7.7,12463,
"The Thomas Crown Affair",movie,"Crime, Drama, Romance",1968,tt0063688,6.9,29988,
"The Great Dictator",movie,"Comedy, Drama, War",1940,tt0032553,8.4,248630,
Bullitt,movie,"Action, Crime, Thriller",1968,tt0062765,7.4,78817,
"Dead Man",movie,"Adventure, Drama, Western",1995,tt0112817,7.5,106138,
"Dawn of the Dead",movie,"Action, Horror",2004,tt0363547,7.2,281133,
Gremlins,movie,"Comedy, Fantasy, Horror",1984,tt0087363,7.3,261854,
"Gremlins 2: The New Batch",movie,"Comedy, Fantasy, Horror",1990,tt0099700,6.4,117004,
Godzilla,movie,"Action, Sci-Fi, Thriller",1998,tt0120685,5.5,208669,
"The Pink Panther",movie,"Comedy, Crime, Romance",1963,tt0057413,7,59242,
"The Lady Vanishes",movie,"Crime, Drama, Mystery",1938,tt0030341,7.7,59385,
"Lethal Weapon",movie,"Action, Crime, Thriller",1987,tt0093409,7.6,286598,
"Lethal Weapon 2",movie,"Action, Crime, Thriller",1989,tt0097733,7.3,195494,
"Lethal Weapon 3",movie,"Action, Crime, Thriller",1992,tt0104714,6.7,183865,
"Lethal Weapon 4",movie,"Action, Crime, Thriller",1998,tt0122151,6.6,176682,
"Ice Age: The Meltdown",movie,"Adventure, Animation, Comedy",2006,tt0438097,6.8,307759,
"Kindergarten Cop",movie,"Action, Comedy, Crime",1990,tt0099938,6.3,169114,
Madagascar,movie,"Adventure, Animation, Comedy",2005,tt0351283,6.9,458144,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,489052,
"Mission: Impossible II",movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,391779,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,404186,
"The Gold Rush",movie,"Adventure, Comedy, Drama",1925,tt0015864,8.1,123792,
